participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.participation_fee,session.config.real_world_currency_per_point,session.config.name,leader1.1.player.id_in_group,leader1.1.player.role,leader1.1.player.payoff,leader1.1.player.treat,leader1.1.player.rol,leader1.1.player.galera,leader1.1.player.contribution,leader1.1.player.s1,leader1.1.group.id_in_subsession,leader1.1.group.total_contribution,leader1.1.group.individual_share,leader1.1.group.final,leader1.1.subsession.round_number,leader1.2.player.id_in_group,leader1.2.player.role,leader1.2.player.payoff,leader1.2.player.treat,leader1.2.player.rol,leader1.2.player.galera,leader1.2.player.contribution,leader1.2.player.s1,leader1.2.group.id_in_subsession,leader1.2.group.total_contribution,leader1.2.group.individual_share,leader1.2.group.final,leader1.2.subsession.round_number,leader1.3.player.id_in_group,leader1.3.player.role,leader1.3.player.payoff,leader1.3.player.treat,leader1.3.player.rol,leader1.3.player.galera,leader1.3.player.contribution,leader1.3.player.s1,leader1.3.group.id_in_subsession,leader1.3.group.total_contribution,leader1.3.group.individual_share,leader1.3.group.final,leader1.3.subsession.round_number,leader1.4.player.id_in_group,leader1.4.player.role,leader1.4.player.payoff,leader1.4.player.treat,leader1.4.player.rol,leader1.4.player.galera,leader1.4.player.contribution,leader1.4.player.s1,leader1.4.group.id_in_subsession,leader1.4.group.total_contribution,leader1.4.group.individual_share,leader1.4.group.final,leader1.4.subsession.round_number,leader1.5.player.id_in_group,leader1.5.player.role,leader1.5.player.payoff,leader1.5.player.treat,leader1.5.player.rol,leader1.5.player.galera,leader1.5.player.contribution,leader1.5.player.s1,leader1.5.group.id_in_subsession,leader1.5.group.total_contribution,leader1.5.group.individual_share,leader1.5.group.final,leader1.5.subsession.round_number,leader1.6.player.id_in_group,leader1.6.player.role,leader1.6.player.payoff,leader1.6.player.treat,leader1.6.player.rol,leader1.6.player.galera,leader1.6.player.contribution,leader1.6.player.s1,leader1.6.group.id_in_subsession,leader1.6.group.total_contribution,leader1.6.group.individual_share,leader1.6.group.final,leader1.6.subsession.round_number,leader1.7.player.id_in_group,leader1.7.player.role,leader1.7.player.payoff,leader1.7.player.treat,leader1.7.player.rol,leader1.7.player.galera,leader1.7.player.contribution,leader1.7.player.s1,leader1.7.group.id_in_subsession,leader1.7.group.total_contribution,leader1.7.group.individual_share,leader1.7.group.final,leader1.7.subsession.round_number,leader1.8.player.id_in_group,leader1.8.player.role,leader1.8.player.payoff,leader1.8.player.treat,leader1.8.player.rol,leader1.8.player.galera,leader1.8.player.contribution,leader1.8.player.s1,leader1.8.group.id_in_subsession,leader1.8.group.total_contribution,leader1.8.group.individual_share,leader1.8.group.final,leader1.8.subsession.round_number,leader1.9.player.id_in_group,leader1.9.player.role,leader1.9.player.payoff,leader1.9.player.treat,leader1.9.player.rol,leader1.9.player.galera,leader1.9.player.contribution,leader1.9.player.s1,leader1.9.group.id_in_subsession,leader1.9.group.total_contribution,leader1.9.group.individual_share,leader1.9.group.final,leader1.9.subsession.round_number,leader1.10.player.id_in_group,leader1.10.player.role,leader1.10.player.payoff,leader1.10.player.treat,leader1.10.player.rol,leader1.10.player.galera,leader1.10.player.contribution,leader1.10.player.s1,leader1.10.group.id_in_subsession,leader1.10.group.total_contribution,leader1.10.group.individual_share,leader1.10.group.final,leader1.10.subsession.round_number,survey.1.player.id_in_group,survey.1.player.role,survey.1.player.payoff,survey.1.player.crt1,survey.1.player.crt2,survey.1.player.crt3,survey.1.player.crt,survey.1.player.extraversion,survey.1.player.agreeableness,survey.1.player.conscientiousness,survey.1.player.neuroticism,survey.1.player.openness,survey.1.player.alt,survey.1.player.pr,survey.1.player.nr,survey.1.player.tr,survey.1.player.bf1,survey.1.player.bf2,survey.1.player.bf3,survey.1.player.bf4,survey.1.player.bf5,survey.1.player.bf6,survey.1.player.bf7,survey.1.player.bf8,survey.1.player.bf9,survey.1.player.bf10,survey.1.player.al1,survey.1.player.pr1,survey.1.player.nr1,survey.1.player.nr2,survey.1.player.nr3,survey.1.player.tr1,survey.1.player.pr2,survey.1.player.al2,survey.1.player.com1,survey.1.player.com2,survey.1.player.com3,survey.1.player.com4,survey.1.player.com5,survey.1.player.com,survey.1.player.che,survey.1.player.rul,survey.1.group.id_in_subsession,survey.1.subsession.round_number,svo.1.player.id_in_group,svo.1.player.role,svo.1.player.payoff,svo.1.player.q1,svo.1.player.q2,svo.1.player.q3,svo.1.player.q4,svo.1.player.q5,svo.1.player.q6,svo.1.player.svo,svo.1.player.svo_type,svo.1.group.id_in_subsession,svo.1.subsession.round_number,end.1.player.id_in_group,end.1.player.role,end.1.player.payoff,end.1.player.info,end.1.player.pay,end.1.player.gender,end.1.player.age,end.1.group.id_in_subsession,end.1.subsession.round_number,introleader1.1.player.id_in_group,introleader1.1.player.role,introleader1.1.player.payoff,introleader1.1.player.active,introleader1.1.player.tamanho,introleader1.1.player.confirm,introleader1.1.player.treat,introleader1.1.player.galera,introleader1.1.player.rol,introleader1.1.player.testloko,introleader1.1.player.q1,introleader1.1.player.q2,introleader1.1.player.q3,introleader1.1.player.q4,introleader1.1.player.q5,introleader1.1.player.q6,introleader1.1.player.q7,introleader1.1.group.id_in_subsession,introleader1.1.group.top_bid,introleader1.1.subsession.round_number
1,3oh7vfcb,5f40ed58fceca2234d44f3bf,0,60,60,end,end,2021-09-28 12:36:47.785214,1,,,7.0,l6j0z851,,,,,0,0.0,1.0,final1,1,,26.0,1,,"Group Member 1 and Group Member 2, and a Group Leader",20,25.5,2,51.0,25.5,76.5,1,1,,33.0,,,,15,32.5,2,55.0,27.5,82.5,2,1,,28.0,,,,20,27.5,2,55.0,27.5,82.5,3,1,,27.0,,,,20,27.0,2,54.0,27.0,81.0,4,1,,29.0,,,,15,29.0,2,48.0,24.0,72.0,5,1,,27.0,,,,17,26.5,2,47.0,23.5,70.5,6,1,,30.0,,,,15,30.0,2,50.0,25.0,75.0,7,1,,25.0,,,,15,25.0,2,40.0,20.0,60.0,8,1,,25.0,,,,20,24.5,2,49.0,24.5,73.5,9,1,,26.0,,,,15,26.0,2,42.0,21.0,63.0,10,1,,0.0,5,5,47,0.0,2.0,3.0,3.5,2.5,1.0,2.05,5.0,2.0,3.0,4,3,3,4,5,2,3,4,3,1,4,5,2,2,2,3,7,20,3,1,2,3,2,2.2,50.0,50.0,1,1,1,,0.0,1,9,9,4,5,9,2.0,Prosocial,1,1,1,,0.0,5f40ed58fceca2234d44f3bf,6.52,Female,24,1,1,,,,,,,,,,,,,,,,,,,,
2,i1me3n1z,5a460b57b77a5000014a890c,0,60,60,end,end,2021-09-28 12:36:47.815746,1,,,6.0,l6j0z851,,,,,0,0.0,1.0,final1,1,,27.0,1,,"Group Member 1 and Group Member 2, and a Group Leader",20,27.0,3,54.0,27.0,81.0,1,1,,30.0,,,,20,30.0,3,60.0,30.0,90.0,2,1,,21.0,,,,20,21.0,3,42.0,21.0,63.0,3,1,,13.0,,,,20,13.0,3,26.0,13.0,39.0,4,1,,23.0,,,,1,23.0,3,8.0,4.0,12.0,5,1,,24.0,,,,5,24.0,3,18.0,9.0,27.0,6,1,,21.0,,,,10,20.5,3,21.0,10.5,31.5,7,1,,32.0,,,,1,31.5,3,25.0,12.5,37.5,8,1,,22.0,,,,5,21.5,3,13.0,6.5,19.5,9,1,,21.0,,,,1,20.5,3,3.0,1.5,4.5,10,2,,0.0,5,5,47,0.0,2.0,4.0,3.5,4.0,2.0,2.5,3.7857142857142856,2.6666666666666665,4.0,4,4,3,1,4,2,2,4,3,2,5,4,2,3,3,4,5,0,3,1,2,3,2,2.2,50.0,50.0,1,1,2,,0.0,1,9,9,7,2,9,3.0,Individualistic,1,1,2,,0.0,5a460b57b77a5000014a890c,5.68,Female,53,1,1,,,,,,,,,,,,,,,,,,,,
3,rp5cvrl5,5ed7d4d2acd3f628d315c84e,0,60,60,end,end,2021-09-28 12:36:47.806839,1,,,7.0,l6j0z851,,,,,0,0.0,1.0,final1,2,,35.0,1,Group Member 2,"Group Member 1 and Group Member 2, and a Group Leader",11,34.5,2,51.0,25.5,76.5,1,2,,28.0,,,,20,27.5,2,55.0,27.5,82.5,2,2,,33.0,,,,15,32.5,2,55.0,27.5,82.5,3,2,,33.0,,,,14,33.0,2,54.0,27.0,81.0,4,2,,31.0,,,,13,31.0,2,48.0,24.0,72.0,5,2,,24.0,,,,20,23.5,2,47.0,23.5,70.5,6,2,,30.0,,,,15,30.0,2,50.0,25.0,75.0,7,2,,30.0,,,,10,30.0,2,40.0,20.0,60.0,8,2,,31.0,,,,14,30.5,2,49.0,24.5,73.5,9,2,,29.0,,,,12,29.0,2,42.0,21.0,63.0,10,3,,0.0,10,5,47,1.0,1.5,4.5,2.5,4.0,2.5,2.25,5.0,2.3333333333333335,2.0,5,5,4,2,4,2,2,3,4,3,4,5,2,2,3,2,7,100,5,2,4,5,4,4.0,50.0,0.0,1,1,3,,0.0,2,8,6,4,5,6,2.0,Prosocial,1,1,3,,0.0,5ed7d4d2acd3f628d315c84e,6.58,Female,25,1,1,,,,,,,,,,,,,,,,,,,,
4,0k2zzejv,604b169fe4b7991ec08da3a6,0,60,60,end,end,2021-09-28 12:36:47.832555,1,,,6.0,l6j0z851,,,,,0,0.0,1.0,final1,3,,26.0,1,Group Leader,"Group Member 1 and Group Member 2, and a Group Leader",20,25.5,2,51.0,25.5,76.5,1,3,,28.0,,,,20,27.5,2,55.0,27.5,82.5,2,3,,28.0,,,,20,27.5,2,55.0,27.5,82.5,3,3,,27.0,,,,20,27.0,2,54.0,27.0,81.0,4,3,,24.0,,,,20,24.0,2,48.0,24.0,72.0,5,3,,34.0,,,,10,33.5,2,47.0,23.5,70.5,6,3,,25.0,,,,20,25.0,2,50.0,25.0,75.0,7,3,,25.0,,,,15,25.0,2,40.0,20.0,60.0,8,3,,30.0,,,,15,29.5,2,49.0,24.5,73.5,9,3,,26.0,,,,15,26.0,2,42.0,21.0,63.0,10,4,,0.0,5,5,47,0.0,3.5,3.5,5.0,1.0,4.0,2.5,5.0,4.0,4.0,3,4,1,5,3,4,3,5,1,5,4,5,3,4,5,4,7,200,1,1,1,1,1,1.0,50.0,50.0,1,1,4,,0.0,1,9,9,4,5,9,2.0,Prosocial,1,1,4,,0.0,604b169fe4b7991ec08da3a6,6.46,Male,30,1,1,,,,,,,,,,,,,,,,,,,,
5,p0onf4hx,607da39df127ab6004a8cd10,0,60,60,end,end,2021-09-28 12:36:47.931917,1,,,6.0,l6j0z851,,,,,0,0.0,1.0,final1,2,,33.0,1,Group Member 2,"Group Member 1 and Group Member 2, and a Group Leader",14,33.0,3,54.0,27.0,81.0,1,2,,30.0,,,,20,30.0,3,60.0,30.0,90.0,2,2,,39.0,,,,2,39.0,3,42.0,21.0,63.0,3,2,,32.0,,,,1,32.0,3,26.0,13.0,39.0,4,2,,19.0,,,,5,19.0,3,8.0,4.0,12.0,5,2,,26.0,,,,3,26.0,3,18.0,9.0,27.0,6,2,,21.0,,,,10,20.5,3,21.0,10.5,31.5,7,2,,19.0,,,,14,18.5,3,25.0,12.5,37.5,8,2,,24.0,,,,3,23.5,3,13.0,6.5,19.5,9,2,,21.0,,,,1,20.5,3,3.0,1.5,4.5,10,5,,0.0,5,5,47,0.0,3.0,2.0,2.5,3.5,4.0,4.0,3.928571428571429,3.0,3.0,4,2,5,3,2,4,4,4,4,4,5,5,2,4,3,3,4,600,2,4,4,4,3,3.4,50.0,42.0,1,1,5,,0.0,1,9,8,9,2,3,3.0,Individualistic,1,1,5,,0.0,607da39df127ab6004a8cd10,6.2,Male,23,1,1,,,,,,,,,,,,,,,,,,,,
6,0cpbfnh3,5e9c29a39c157d14227afac8,0,60,60,end,end,2021-09-28 12:36:48.425183,1,,,7.0,l6j0z851,,,,,0,0.0,1.0,final1,1,,23.0,1,,"Group Member 1 and Group Member 2, and a Group Leader",10,22.5,4,25.0,12.5,37.5,1,1,,21.0,,,,20,21.0,4,42.0,21.0,63.0,2,1,,30.0,,,,20,30.0,4,60.0,30.0,90.0,3,1,,30.0,,,,20,30.0,4,60.0,30.0,90.0,4,1,,30.0,,,,20,30.0,4,60.0,30.0,90.0,5,1,,30.0,,,,20,30.0,4,60.0,30.0,90.0,6,1,,30.0,,,,20,30.0,4,60.0,30.0,90.0,7,1,,30.0,,,,20,30.0,4,60.0,30.0,90.0,8,1,,30.0,,,,20,30.0,4,60.0,30.0,90.0,9,1,,30.0,,,,0,30.0,4,20.0,10.0,30.0,10,6,,0.0,5,5,47,0.0,2.5,3.5,3.0,4.0,5.0,2.25,4.285714285714286,3.6666666666666665,3.0,4,5,4,2,1,3,4,4,4,5,4,5,4,3,4,3,5,100,4,4,5,4,4,4.2,50.0,49.0,1,1,6,,0.0,1,9,9,5,5,9,2.0,Prosocial,1,1,6,,0.0,5e9c29a39c157d14227afac8,6.67,Male,22,1,1,,,,,,,,,,,,,,,,,,,,
7,w8b2xatk,5f18862cd42a5807dc279034,0,60,60,end,end,2021-09-28 12:36:48.414076,1,,,6.0,l6j0z851,,,,,0,0.0,1.0,final1,3,,27.0,1,Group Leader,"Group Member 1 and Group Member 2, and a Group Leader",20,27.0,3,54.0,27.0,81.0,1,3,,30.0,,,,20,30.0,3,60.0,30.0,90.0,2,3,,21.0,,,,20,21.0,3,42.0,21.0,63.0,3,3,,28.0,,,,5,28.0,3,26.0,13.0,39.0,4,3,,22.0,,,,2,22.0,3,8.0,4.0,12.0,5,3,,19.0,,,,10,19.0,3,18.0,9.0,27.0,6,3,,30.0,,,,1,29.5,3,21.0,10.5,31.5,7,3,,23.0,,,,10,22.5,3,25.0,12.5,37.5,8,3,,22.0,,,,5,21.5,3,13.0,6.5,19.5,9,3,,21.0,,,,1,20.5,3,3.0,1.5,4.5,10,7,,0.0,5,100,24,2.0,2.0,3.5,3.0,2.5,3.0,1.5,3.428571428571429,2.6666666666666665,1.0,5,5,4,4,5,3,4,4,3,5,3,4,4,2,2,1,4,0,4,3,4,5,5,4.2,50.0,50.0,1,1,7,,0.0,1,9,9,9,1,1,3.0,Individualistic,1,1,7,,0.0,5f18862cd42a5807dc279034,5.86,Male,22,1,1,,,,,,,,,,,,,,,,,,,,
8,rhyzppkh,5e0525d7a7fba6f7fe026e97,0,60,60,end,end,2021-09-28 12:36:48.477233,1,,,6.0,l6j0z851,,,,,0,0.0,1.0,final1,2,,28.0,1,Group Member 2,"Group Member 1 and Group Member 2, and a Group Leader",5,27.5,4,25.0,12.5,37.5,1,2,,31.0,,,,10,31.0,4,42.0,21.0,63.0,2,2,,30.0,,,,20,30.0,4,60.0,30.0,90.0,3,2,,30.0,,,,20,30.0,4,60.0,30.0,90.0,4,2,,30.0,,,,20,30.0,4,60.0,30.0,90.0,5,2,,30.0,,,,20,30.0,4,60.0,30.0,90.0,6,2,,30.0,,,,20,30.0,4,60.0,30.0,90.0,7,2,,30.0,,,,20,30.0,4,60.0,30.0,90.0,8,2,,30.0,,,,20,30.0,4,60.0,30.0,90.0,9,2,,10.0,,,,20,10.0,4,20.0,10.0,30.0,10,8,,0.0,5,5,47,0.0,2.0,3.5,3.5,2.5,2.5,2.25,3.928571428571429,3.6666666666666665,3.0,4,4,3,4,5,2,3,4,3,4,4,5,3,4,4,3,4,100,4,4,3,5,3,3.8,50.0,0.0,1,1,8,,0.0,1,9,9,4,5,7,2.0,Prosocial,1,1,8,,0.0,5e0525d7a7fba6f7fe026e97,6.08,Male,23,1,1,,,,,,,,,,,,,,,,,,,,
9,yoaiugpd,600abec042ce9902cb63f0a2,0,60,60,end,end,2021-09-28 12:36:48.526741,1,,,7.0,l6j0z851,,,,,0,0.0,1.0,final1,3,,23.0,1,Group Leader,"Group Member 1 and Group Member 2, and a Group Leader",10,22.5,4,25.0,12.5,37.5,1,3,,29.0,,,,12,29.0,4,42.0,21.0,63.0,2,3,,30.0,,,,20,30.0,4,60.0,30.0,90.0,3,3,,30.0,,,,20,30.0,4,60.0,30.0,90.0,4,3,,30.0,,,,20,30.0,4,60.0,30.0,90.0,5,3,,30.0,,,,20,30.0,4,60.0,30.0,90.0,6,3,,30.0,,,,20,30.0,4,60.0,30.0,90.0,7,3,,30.0,,,,20,30.0,4,60.0,30.0,90.0,8,3,,30.0,,,,20,30.0,4,60.0,30.0,90.0,9,3,,30.0,,,,0,30.0,4,20.0,10.0,30.0,10,9,,0.0,10,5,47,1.0,2.0,3.0,4.5,3.0,4.5,0.5,4.285714285714286,3.6666666666666665,2.0,4,2,2,2,1,2,2,5,2,4,1,5,5,4,2,2,5,0,3,2,3,4,3,3.0,50.0,50.0,1,1,9,,0.0,1,9,9,9,1,1,3.0,Individualistic,1,1,9,,0.0,600abec042ce9902cb63f0a2,6.84,Male,22,1,1,,,,,,,,,,,,,,,,,,,,
10,3uwx7pfj,610421096c1af729ade5aac1,0,60,60,end,end,2021-09-28 12:36:48.933529,1,,,7.0,l6j0z851,,,,,0,0.0,1.0,final1,1,,28.0,1,,"Group Member 1 and Group Member 2, and a Group Leader",15,28.0,5,46.0,23.0,69.0,1,1,,26.0,,,,18,26.0,5,48.0,24.0,72.0,2,1,,27.0,,,,20,26.5,5,53.0,26.5,79.5,3,1,,30.0,,,,20,29.5,5,59.0,29.5,88.5,4,1,,30.0,,,,20,29.5,5,59.0,29.5,88.5,5,1,,30.0,,,,20,29.5,5,59.0,29.5,88.5,6,1,,30.0,,,,20,30.0,5,60.0,30.0,90.0,7,1,,29.0,,,,20,29.0,5,58.0,29.0,87.0,8,1,,28.0,,,,20,27.5,5,55.0,27.5,82.5,9,1,,25.0,,,,20,24.5,5,49.0,24.5,73.5,10,10,,0.0,5,5,47,0.0,1.0,3.0,3.0,4.5,4.0,1.5,3.428571428571429,2.6666666666666665,3.0,5,4,4,2,2,1,4,4,5,4,3,4,2,2,4,3,4,0,4,4,3,4,3,3.6,50.0,50.0,1,1,10,,0.0,1,9,9,1,1,9,2.0,Prosocial,1,1,10,,0.0,610421096c1af729ade5aac1,6.66,Female,22,1,1,,,,,,,,,,,,,,,,,,,,
11,ux4q5fxr,5d2075ccc26f84001566733c,0,60,60,end,end,2021-09-28 12:37:21.242218,1,,,7.0,l6j0z851,,,,,0,0.0,1.0,final1,2,,23.0,1,Group Member 2,"Group Member 1 and Group Member 2, and a Group Leader",20,23.0,5,46.0,23.0,69.0,1,2,,29.0,,,,15,29.0,5,48.0,24.0,72.0,2,2,,32.0,,,,15,31.5,5,53.0,26.5,79.5,3,2,,30.0,,,,20,29.5,5,59.0,29.5,88.5,4,2,,30.0,,,,20,29.5,5,59.0,29.5,88.5,5,2,,30.0,,,,20,29.5,5,59.0,29.5,88.5,6,2,,30.0,,,,20,30.0,5,60.0,30.0,90.0,7,2,,29.0,,,,20,29.0,5,58.0,29.0,87.0,8,2,,28.0,,,,20,27.5,5,55.0,27.5,82.5,9,2,,26.0,,,,19,25.5,5,49.0,24.5,73.5,10,11,,0.0,10,5,47,1.0,4.5,3.0,4.5,2.0,4.5,3.25,4.142857142857142,1.6666666666666667,4.0,2,4,2,4,1,5,4,5,2,4,4,4,1,2,2,4,6,500,4,1,4,5,1,3.0,50.0,44.0,1,1,11,,0.0,1,9,9,4,5,9,2.0,Prosocial,1,1,11,,0.0,5d2075ccc26f84001566733c,6.68,Female,40,1,1,,,,,,,,,,,,,,,,,,,,
12,1fl1k8jz,605dd566e714dcc87f884853,0,60,60,end,end,2021-09-28 12:37:21.621164,1,,,7.0,l6j0z851,,,,,0,0.0,1.0,final1,3,,32.0,1,Group Leader,"Group Member 1 and Group Member 2, and a Group Leader",11,32.0,5,46.0,23.0,69.0,1,3,,29.0,,,,15,29.0,5,48.0,24.0,72.0,2,3,,29.0,,,,18,28.5,5,53.0,26.5,79.5,3,3,,31.0,,,,19,30.5,5,59.0,29.5,88.5,4,3,,31.0,,,,19,30.5,5,59.0,29.5,88.5,5,3,,31.0,,,,19,30.5,5,59.0,29.5,88.5,6,3,,30.0,,,,20,30.0,5,60.0,30.0,90.0,7,3,,31.0,,,,18,31.0,5,58.0,29.0,87.0,8,3,,33.0,,,,15,32.5,5,55.0,27.5,82.5,9,3,,35.0,,,,10,34.5,5,49.0,24.5,73.5,10,12,,0.0,5,5,47,0.0,4.0,3.5,2.0,3.0,4.0,2.25,3.928571428571429,2.0,3.0,2,4,4,4,2,4,3,2,4,4,4,5,2,2,2,3,4,100,4,2,3,4,5,3.6,50.0,0.0,1,1,12,,0.0,1,9,9,3,3,8,2.0,Prosocial,1,1,12,,0.0,605dd566e714dcc87f884853,6.74,Male,22,1,1,,,,,,,,,,,,,,,,,,,,
13,i4emyl1l,5edec2b3e095321650bddc22,0,60,60,end,end,2021-09-28 12:37:22.022689,1,,,7.0,l6j0z851,,,,,0,0.0,1.0,final1,1,,21.0,1,,"Group Member 1 and Group Member 2, and a Group Leader",20,21.0,6,42.0,21.0,63.0,1,1,,24.0,,,,20,24.0,6,48.0,24.0,72.0,2,1,,29.0,,,,20,28.5,6,57.0,28.5,85.5,3,1,,29.0,,,,20,29.0,6,58.0,29.0,87.0,4,1,,30.0,,,,20,30.0,6,60.0,30.0,90.0,5,1,,30.0,,,,20,30.0,6,60.0,30.0,90.0,6,1,,30.0,,,,20,30.0,6,60.0,30.0,90.0,7,1,,30.0,,,,20,30.0,6,60.0,30.0,90.0,8,1,,30.0,,,,20,30.0,6,60.0,30.0,90.0,9,1,,30.0,,,,20,30.0,6,60.0,30.0,90.0,10,13,,0.0,5,5,47,0.0,1.5,3.0,3.0,5.0,3.0,2.5,5.0,1.0,4.0,5,4,4,1,4,2,4,4,5,4,5,5,1,1,1,4,7,0,4,1,2,4,1,2.4,50.0,50.0,1,1,13,,0.0,1,9,9,5,5,9,2.0,Prosocial,1,1,13,,0.0,5edec2b3e095321650bddc22,6.66,Male,35,1,1,,,,,,,,,,,,,,,,,,,,
